観測所番号,観測所名,ｶﾀｶﾅ名,緯度,経度,標高,正式名称,都道府県,市町村
19151,標茶,ｼﾍﾞﾁｬ,43.292,144.587,20,標茶アメダス,北海道,川上郡標茶町
19191,鶴居,ﾂﾙｲ,43.232,144.325,38,鶴居アメダス,北海道,阿寒郡鶴居村
19261,中徹別,ﾅｶﾃｼﾍﾞﾂ,43.198,144.142,80,中徹別アメダス,北海道,釧路市
19281,塘路,ﾄｳﾛ,43.148,144.497,25,塘路アメダス,北海道,川上郡標茶町
19301,茶内原野,ﾁｬﾅｲｹﾞﾝﾔ,43.173,144.967,70,茶内原野アメダス,北海道,厚岸郡浜中町
19311,榊町,ｻｶｷﾏﾁ,43.12,145.11,2,榊町アメダス,北海道,厚岸郡浜中町
19346,阿寒,ｱｶﾝ,43.113,144.123,40,阿寒アメダス,北海道,釧路市
19347,鶴丘,ﾂﾙｵｶ,43.04,144.192,95,釧路航空気象観測所,北海道,釧路市
19376,太田,ｵｵﾀ,43.09,144.778,85,太田アメダス,北海道,厚岸郡厚岸町
19406,二俣,ﾌﾀﾏﾀ,42.972,143.875,45,二俣アメダス,北海道,釧路市
19416,白糠,ｼﾗﾇｶ,42.97,144.062,9,白糠アメダス,北海道,白糠郡白糠町
19432,釧路,ｸｼﾛ,42.985,144.377,5,釧路地方気象台,北海道,釧路市
19451,知方学,ﾁｯﾎﾟﾏﾅｲ,42.938,144.735,149,知方学アメダス,北海道,釧路郡釧路町
20047,三股,ﾐﾂﾏﾀ,43.51,143.148,660,三股アメダス,北海道,河東郡上士幌町
20071,小利別,ｼｮｳﾄｼﾍﾞﾂ,43.588,143.68,313,小利別アメダス,北海道,足寄郡陸別町
20146,陸別,ﾘｸﾍﾞﾂ,43.472,143.753,210,陸別アメダス,北海道,足寄郡陸別町
20186,ぬかびら源泉郷,ﾇｶﾋﾞﾗｹﾞﾝｾﾝｷｮｳ,43.367,143.192,540,ぬかびら源泉郷アメダス,北海道,河東郡上士幌町
20202,柏倉,ｶｼﾜｸﾗ,43.362,143.458,378,柏倉アメダス,北海道,足寄郡足寄町
20222,上螺湾,ｶﾐﾗﾜﾝ,43.318,143.802,232,上螺湾アメダス,北海道,足寄郡足寄町
20266,上士幌,ｶﾐｼﾎﾛ,43.242,143.295,287,上士幌アメダス,北海道,河東郡上士幌町
20276,足寄,ｱｼｮﾛ,43.243,143.553,90,足寄アメダス,北海道,足寄郡足寄町
20331,押帯,ｵｼｮｯﾌﾟ,43.115,143.443,104,押帯アメダス,北海道,中川郡本別町
20341,本別,ﾎﾝﾍﾞﾂ,43.132,143.6,67,本別アメダス,北海道,中川郡本別町
20356,新得,ｼﾝﾄｸ,43.077,142.84,178,新得アメダス,北海道,上川郡新得町
20361,鹿追,ｼｶｵｲ,43.103,142.995,206,鹿追アメダス,北海道,河東郡鹿追町
20371,駒場,ｺﾏﾊﾞ,43.05,143.183,112,駒場アメダス,北海道,河東郡音更町
20421,芽室,ﾒﾑﾛ,42.9,143.043,90,芽室アメダス,北海道,河西郡芽室町
20432,帯広,ｵﾋﾞﾋﾛ,42.922,143.212,38,帯広測候所,北海道,帯広市
20441,池田,ｲｹﾀﾞ,42.92,143.458,42,池田アメダス,北海道,中川郡池田町
20451,留真,ﾙｼﾝ,42.917,143.662,40,留真アメダス,北海道,十勝郡浦幌町
20506,浦幌,ｳﾗﾎﾛ,42.808,143.657,20,浦幌アメダス,北海道,十勝郡浦幌町
20551,帯広泉,ｵﾋﾞﾋﾛｲｽﾞﾐ,42.733,143.217,149,帯広航空気象観測所,北海道,帯広市
20556,糠内,ﾇｶﾅｲ,42.787,143.328,70,糠内アメダス,北海道,中川郡幕別町
20601,上札内,ｶﾐｻﾂﾅｲ,42.642,143.097,251,上札内アメダス,北海道,河西郡中札内村
20606,更別,ｻﾗﾍﾞﾂ,42.652,143.195,185,更別アメダス,北海道,河西郡更別村
20631,大津,ｵｵﾂ,42.687,143.647,4,大津アメダス,北海道,中川郡豊頃町
20696,大樹,ﾀｲｷ,42.5,143.273,87,大樹アメダス,北海道,広尾郡大樹町
20751,広尾,ﾋﾛｵ,42.293,143.317,32,広尾特別地域気象観測所,北海道,広尾郡広尾町
21031,安平,ｱﾋﾞﾗ,42.815,141.828,33,安平アメダス,北海道,勇払郡安平町
21111,厚真,ｱﾂﾏ,42.73,141.888,20,厚真アメダス,北海道,勇払郡厚真町
21126,穂別,ﾎﾍﾞﾂ,42.762,142.143,56,穂別アメダス,北海道,勇払郡むかわ町
21161,大滝,ｵｵﾀｷ,42.67,141.078,390,大滝アメダス,北海道,伊達市
21171,森野,ﾓﾘﾉ,42.63,141.247,170,森野アメダス,北海道,白老郡白老町
21187,苫小牧,ﾄﾏｺﾏｲ,42.623,141.547,6,苫小牧特別地域気象観測所,北海道,苫小牧市
21226,大岸,ｵｵｷｼ,42.59,140.643,4,大岸アメダス,北海道,虻田郡豊浦町
21237,洞爺湖温泉,ﾄｳﾔｺｵﾝｾﾝ,42.565,140.807,85,洞爺湖温泉アメダス,北海道,虻田郡洞爺湖町
21251,カルルス,ｶﾙﾙｽ,42.517,141.107,300,カルルスアメダス,北海道,登別市
21261,白老,ｼﾗｵｲ,42.543,141.352,6,白老アメダス,北海道,白老郡白老町
21276,鵡川,ﾑｶﾜ,42.59,141.933,10,鵡川アメダス,北海道,勇払郡むかわ町
21297,伊達,ﾀﾞﾃ,42.475,140.848,3,伊達アメダス,北海道,伊達市
21312,登別,ﾉﾎﾞﾘﾍﾞﾂ,42.458,141.118,197,登別アメダス,北海道,登別市
21323,室蘭,ﾑﾛﾗﾝ,42.312,140.975,40,室蘭地方気象台,北海道,室蘭市
22036,日高,ﾋﾀﾞｶ,42.877,142.442,280,日高アメダス,北海道,沙流郡日高町
22072,仁世宇,ﾆｾｳ,42.772,142.358,150,仁世宇アメダス,北海道,沙流郡平取町
22106,旭,ｱｻﾋ,42.628,142.393,245,旭アメダス,北海道,沙流郡平取町
22141,日高門別,ﾋﾀﾞｶﾓﾝﾍﾞﾂ,42.497,142.053,47,日高門別アメダス,北海道,沙流郡日高町
22156,新和,ｼﾝﾜ,42.543,142.333,60,新和アメダス,北海道,新冠郡新冠町
22206,笹山,ｻｻﾔﾏ,42.433,142.482,110,笹山アメダス,北海道,日高郡新ひだか町
22241,静内,ｼｽﾞﾅｲ,42.343,142.362,10,静内アメダス,北海道,日高郡新ひだか町
22291,三石,ﾐﾂｲｼ,42.245,142.662,10,三石アメダス,北海道,日高郡新ひだか町
22306,中杵臼,ﾅｶｷﾈｳｽ,42.223,142.948,98,中杵臼アメダス,北海道,浦河郡浦河町
22327,浦河,ｳﾗｶﾜ,42.162,142.777,37,浦河特別地域気象観測所,北海道,浦河郡浦河町
22356,目黒,ﾒｸﾞﾛ,42.128,143.312,7,目黒アメダス,北海道,幌泉郡えりも町
22366,幌満,ﾎﾛﾏﾝ,42.077,143.035,0,幌満アメダス,北海道,様似郡様似町
22391,えりも岬,ｴﾘﾓﾐｻｷ,41.925,143.243,63,えりも岬アメダス,北海道,幌泉郡えりも町
23031,長万部,ｵｼｬﾏﾝﾍﾞ,42.517,140.373,6,長万部アメダス,北海道,山越郡長万部町
23086,八雲,ﾔｸﾓ,42.252,140.272,8,八雲アメダス,北海道,二海郡八雲町
23166,森,ﾓﾘ,42.067,140.588,125,森アメダス,北海道,茅部郡森町
23191,大沼,ｵｵﾇﾏ,41.977,140.715,165,大沼アメダス,北海道,亀田郡七飯町
23206,川汲,ｶｯｸﾐ,41.905,140.97,25,川汲アメダス,北海道,函館市
23226,北斗,ﾎｸﾄ,41.887,140.653,25,北斗アメダス,北海道,北斗市
23232,函館,ﾊｺﾀﾞﾃ,41.817,140.753,35,函館地方気象台,北海道,函館市
23281,高松,ﾀｶﾏﾂ,41.77,140.822,34,函館航空気象観測所,北海道,函館市
23291,戸井泊,ﾄｲﾄﾏﾘ,41.717,141.003,20,戸井泊アメダス,北海道,函館市
23321,知内,ｼﾘｳﾁ,41.598,140.375,24,知内アメダス,北海道,上磯郡知内町
23326,木古内,ｷｺﾅｲ,41.68,140.437,10,木古内アメダス,北海道,上磯郡木古内町
23356,千軒,ｾﾝｹﾞﾝ,41.558,140.272,100,千軒アメダス,北海道,松前郡福島町
23376,松前,ﾏﾂﾏｴ,41.423,140.087,30,松前アメダス,北海道,松前郡松前町
24041,せたな,ｾﾀﾅ,42.45,139.852,10,せたなアメダス,北海道,久遠郡せたな町
24051,今金,ｲﾏｶﾈ,42.428,140.008,19,今金アメダス,北海道,瀬棚郡今金町
24101,奥尻,ｵｸｼﾘ,42.248,139.557,5,奥尻アメダス,北海道,奥尻郡奥尻町
24141,熊石,ｸﾏｲｼ,42.128,139.985,12,熊石アメダス,北海道,二海郡八雲町
24156,米岡,ﾖﾈｵｶ,42.072,139.432,49,奥尻航空気象観測所,北海道,奥尻郡奥尻町
24166,潮見,ｼｵﾐ,42.038,140.088,50,潮見アメダス,北海道,爾志郡乙部町
24201,鶉,ｳｽﾞﾗ,41.93,140.312,53,鶉アメダス,北海道,檜山郡厚沢部町
24217,江差,ｴｻｼ,41.867,140.123,4,江差特別地域気象観測所,北海道,檜山郡江差町
24236,石崎,ｲｼｻﾞｷ,41.7,140.028,5,石崎アメダス,北海道,檜山郡上ノ国町
31001,大間,ｵｵﾏ,41.527,140.912,14,大間アメダス,青森県,下北郡大間町
31036,湯野川,ﾕﾉｶﾜ,41.313,140.957,162,湯野川アメダス,青森県,むつ市
31111,むつ,ﾑﾂ,41.283,141.21,3,むつ特別地域気象観測所,青森県,むつ市
31121,小田野沢,ｵﾀﾞﾉｻﾜ,41.235,141.397,6,小田野沢アメダス,青森県,下北郡東通村
31136,今別,ｲﾏﾍﾞﾂ,41.18,140.482,30,今別アメダス,青森県,東津軽郡今別町
31156,脇野沢,ﾜｷﾉｻﾜ,41.145,140.822,15,脇野沢アメダス,青森県,むつ市
31186,市浦,ｼｳﾗ,41.057,140.347,20,市浦アメダス,青森県,五所川原市
31201,蟹田,ｶﾆﾀ,41.045,140.633,5,蟹田アメダス,青森県,東津軽郡外ヶ浜町
31296,五所川原,ｺﾞｼｮｶﾞﾜﾗ,40.808,140.458,9,五所川原アメダス,青森県,五所川原市
31312,青森,ｱｵﾓﾘ,40.822,140.768,3,青森地方気象台,青森県,青森市
31321,大和山,ﾔﾏﾄﾔﾏ,40.848,140.985,137,大和山アメダス,青森県,東津軽郡平内町
